cve_id,description,severity,score
CVE-1999-0095,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",HIGH,10.0
CVE-1999-0082,CWD ~root command in ftpd allows root access.,HIGH,10.0
CVE-1999-1471,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.,HIGH,7.2
CVE-1999-1122,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,MEDIUM,4.6
CVE-1999-1467,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.",HIGH,10.0
CVE-1999-1506,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.",HIGH,7.5
CVE-1999-0084,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,HIGH,8.4
CVE-2000-0388,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.,HIGH,7.5
CVE-1999-0209,The SunView (SunTools) selection_svc facility allows remote users to read files.,MEDIUM,5.0
CVE-1999-1198,"BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.",HIGH,7.2
CVE-1999-1391,Vulnerability in NeXT 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.,HIGH,7.2
CVE-1999-1392,Vulnerability in restore0.9 installation script in NeXT 1.0a and 1.0 allows local users to gain root privileges.,HIGH,7.2
CVE-1999-1057,VMS 4.0 through 5.3 allows local users to gain privileges via the ANALYZE/PROCESS_DUMP dcl command.,MEDIUM,4.6
CVE-1999-1554,"/usr/sbin/Mail on SGI IRIX 3.3 and 3.3.1 does not properly set the group ID to the group ID of the user who started Mail, which allows local users to read the mail of other users.",LOW,2.1
CVE-1999-1197,"TIOCCONS in SunOS 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges.",HIGH,7.2
CVE-1999-1115,"Vulnerability in the /etc/suid_exec program in HP Apollo Domain/OS sr10.2 and sr10.3 beta, related to the Korn Shell (ksh).",HIGH,7.2
CVE-1999-1258,"rpc.pwdauthd in SunOS 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information.",MEDIUM,5.0
CVE-1999-1438,Vulnerability in /bin/mail in SunOS 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.,HIGH,7.2
CVE-1999-1211,Vulnerability in in.telnetd in SunOS 4.1.1 and earlier allows local users to gain root privileges.,HIGH,7.2
CVE-1999-1212,Vulnerability in in.rlogind in SunOS 4.0.3 and 4.0.3c allows local users to gain root privileges.,HIGH,7.2
CVE-1999-1194,"chroot in Digital Ultrix 4.1 and 4.0 is insecurely installed, which allows local users to gain privileges.",HIGH,7.2
CVE-1999-1193,"The ""me"" user in NeXT NeXTstep 2.1 and earlier has wheel group privileges, which could allow the me user to use the su command to become root.",HIGH,10.0
CVE-1999-1123,The installation of Sun Source (sunsrc) tapes allows local users to gain root privileges via setuid root programs (1) makeinstall or (2) winstall.,HIGH,7.2
CVE-1999-1034,Vulnerability in login in AT&T System V Release 4 allows local users to gain privileges.,HIGH,7.2
CVE-1999-1415,Vulnerability in /usr/bin/mail in DEC ULTRIX before 4.2 allows local users to gain privileges.,MEDIUM,4.6
CVE-1999-1090,"The default configuration of NCSA Telnet package for Macintosh and PC enables FTP, even though it does not include an ""ftp=yes"" line, which allows remote attackers to read and modify arbitrary files.",HIGH,7.5
CVE-1999-0498,"TFTP is not running in a restricted directory, allowing a remote attacker to access sensitive information such as password files.",HIGH,10.0
CVE-1999-1468,"rdist in various UNIX systems uses popen to execute sendmail, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable.",MEDIUM,6.2
CVE-1999-0167,"In SunOS, NFS file handles could be guessed, giving unauthorized access to the exported file system.",MEDIUM,4.6
CVE-1999-1493,"Vulnerability in crp in Hewlett Packard Apollo Domain OS SR10 through SR10.3 allows remote attackers to gain root privileges via insecure system calls, (1) pad_$dm_cmd and (2) pad_$def_pfk().",HIGH,10.0
CVE-1999-1032,Vulnerability in LAT/Telnet Gateway (lattelnet) on Ultrix 4.1 and 4.2 allows attackers to gain root privileges.,HIGH,10.0
CVE-1999-1059,Vulnerability in rexec daemon (rexecd) in AT&T TCP/IP 4.0 for various SVR4 systems allows remote attackers to execute arbitrary commands.,HIGH,10.0
CVE-1999-0627,"The rexd service is running, which uses weak authentication that can allow an attacker to execute commands.",LOW,0.0
CVE-1999-1121,The default configuration for UUCP in AIX before 3.2 allows local users to gain root privileges.,HIGH,7.2
CVE-1999-0117,AIX passwd allows local users to gain root access.,HIGH,7.2
CVE-1999-1119,"FTP installation script anon.ftp in AIX insecurely configures anonymous FTP, which allows remote attackers to execute arbitrary commands.",HIGH,10.0
CVE-1999-1142,"SunOS 4.1.2 and earlier allows local users to gain privileges via ""LD_*"" environmental variables to certain dynamically linked setuid or setgid programs such as (1) login, (2) su, or (3) sendmail, that change the real and effective user ids to the same user.",HIGH,7.2
CVE-1999-0168,"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export restrictions.",HIGH,7.5
